NAME,B26001_001E,B02014_001E,B16005_007E,B16005_008E,B16005_012E,B16005_013E,B16005_017E,B16005_022E,B16005_023E,B16005_029E,B16005_030E,B16005_034E,B16005_035E,B16005_039E,B16005_040E,B16005_044E,B16005_045E,B01001A_014E,B01001A_015E,B01001A_016E,B01001A_029E,B01001A_030E,B01001B_014E,B01001B_015E,B01001B_016E,B01001B_029E,B01001B_030E,B01001B_031E,B01001C_014E,B01001C_015E,B01001C_016E,B01001C_029E,B01001C_030E,B01001C_031E,B01001D_014E,B01001D_015E,B01001D_016E,B01001D_029E,B01001D_030E,B01001D_031E,B01001E_014E,B01001E_015E,B01001E_016E,B01001E_029E,B01001E_030E,B01001E_031E,B01001F_014E,B01001F_015E,state,county,tract,YEAR
"Census Tract 26, Bernalillo County, New Mexico",0,69,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,21,16,38,48,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,35,001,002600,2018
"Census Tract 37.14, Bernalillo County, New Mexico",0,692,103,0,0,0,0,0,0,47,0,0,0,0,0,0,0,152,118,39,308,105,0,0,0,0,0,0,13,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,35,001,003714,2018
"Census Tract 37.19, Bernalillo County, New Mexico",99,249,0,0,0,0,0,0,0,32,0,0,0,65,0,28,0,290,181,133,398,264,17,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,35,001,003719,2018
"Census Tract 44.01, Bernalillo County, New Mexico",0,34,68,0,0,0,0,5,0,196,95,0,0,0,0,0,0,110,67,41,169,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,001,004401,2018
"Census Tract 47.12, Bernalillo County, New Mexico",0,287,68,0,0,0,0,0,0,354,106,0,0,0,0,0,0,57,0,0,78,36,20,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,35,001,004712,2018
"Census Tract 47.29, Bernalillo County, New Mexico",128,138,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,83,24,274,95,36,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,35,001,004729,2018
"Census Tract 32.02, Bernalillo County, New Mexico",24,213,111,0,0,0,0,0,0,103,0,0,0,0,0,0,0,230,114,31,251,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,001,003202,2018
"Census Tract 18, Bernalillo County, New Mexico",1560,150,0,0,0,0,0,0,0,17,0,5,0,18,0,0,0,19,22,22,12,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,35,001,001800,2018
"Census Tract 27, Bernalillo County, New Mexico",10,194,11,0,0,0,0,0,0,35,0,0,0,0,0,0,0,171,72,3,145,34,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,9,35,001,002700,2018
"Census Tract 34, Bernalillo County, New Mexico",486,486,0,0,0,0,0,0,0,160,123,0,0,0,0,0,0,60,33,17,117,32,0,0,0,0,0,0,0,0,0,13,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,43,35,001,003400,2018
