NAME,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_009E,B02001_010E,B02008_001E,B02009_001E,B02010_001E,B02011_001E,B02012_001E,B02013_001E,B03003_003E,B03003_002E,B21001_001E,B01001_025E,B01001_049E,state,county,tract,block group,YEAR
"Block Group 1, Census Tract 106.02, Sandoval County, New Mexico",1555,6,48,44,0,146,86,14,72,1627,6,109,69,0,160,355,1530,1681,26,16,35,043,010602,1,2018
"Block Group 1, Census Tract 101.02, Santa Fe County, New Mexico",582,0,0,0,0,744,0,0,0,582,0,0,0,0,744,1104,222,1013,9,8,35,049,010102,1,2018
"Block Group 1, Census Tract 107, Santa Fe County, New Mexico",1129,0,0,0,0,59,19,0,19,1148,0,19,0,0,59,300,907,1085,24,0,35,049,010700,1,2018
"Block Group 1, Census Tract 108, Santa Fe County, New Mexico",585,0,0,0,0,206,9,9,0,594,0,0,0,0,215,503,297,726,16,0,35,049,010800,1,2018
"Block Group 1, Census Tract 12.03, Santa Fe County, New Mexico",1145,0,35,0,0,149,31,15,16,1176,0,51,0,0,164,1207,153,815,0,0,35,049,001203,1,2018
"Block Group 1, Census Tract 105, Santa Fe County, New Mexico",1053,0,7,0,0,21,10,5,5,1063,0,7,5,0,26,150,941,936,18,15,35,049,010500,1,2018
"Block Group 3, Census Tract 9406, Bernalillo County, New Mexico",1276,109,136,385,0,496,54,32,22,1330,109,136,407,0,528,1282,1174,1613,0,0,35,001,940600,3,2018
"Block Group 2, Census Tract 102.03, Santa Fe County, New Mexico",829,6,20,0,0,77,91,0,91,844,6,103,84,0,77,282,741,953,5,18,35,049,010203,2,2018
"Block Group 1, Census Tract 106.02, Santa Fe County, New Mexico",1740,0,95,5,0,30,22,0,22,1762,0,117,5,0,30,175,1717,1748,57,29,35,049,010602,1,2018
"Block Group 2, Census Tract 8, Santa Fe County, New Mexico",589,0,39,0,0,0,111,0,111,700,0,81,69,0,0,263,476,676,0,0,35,049,000800,2,2018
"Block Group 4, Census Tract 9707, Valencia County, New Mexico",948,58,40,0,0,92,19,12,7,955,70,47,0,0,104,648,509,1157,0,0,35,061,970700,4,2018
"Block Group 2, Census Tract 5.03, Lea County, New Mexico",804,66,10,0,0,37,16,8,8,820,74,10,0,0,45,229,704,710,32,21,35,025,000503,2,2018
"Block Group 2, Census Tract 10.04, Lea County, New Mexico",1404,0,0,0,0,128,28,28,0,1432,0,0,0,0,156,1215,345,1180,0,0,35,025,001004,2,2018
"Block Group 2, Census Tract 7.01, Lea County, New Mexico",978,0,0,0,0,38,6,6,0,984,0,0,0,0,44,260,762,816,0,0,35,025,000701,2,2018
"Block Group 3, Census Tract 1.22, Bernalillo County, New Mexico",1493,0,0,171,0,25,13,0,13,1506,13,0,171,0,25,580,1122,1222,0,17,35,001,000122,3,2018
"Block Group 1, Census Tract 7.04, Lea County, New Mexico",2831,0,11,0,0,94,42,0,42,2873,0,53,0,0,94,1357,1621,2269,12,0,35,025,000704,1,2018
"Block Group 1, Census Tract 103.15, Santa Fe County, New Mexico",1439,14,14,49,0,36,86,32,54,1501,60,31,55,9,68,527,1111,1497,24,54,35,049,010315,1,2018
"Block Group 3, Census Tract 9409, Santa Fe County, New Mexico",183,0,5,2,0,227,4,4,0,187,0,5,2,0,231,364,57,325,7,9,35,049,940900,3,2018
"Block Group 2, Census Tract 11.06, Santa Fe County, New Mexico",760,0,39,17,0,56,48,5,43,808,0,48,51,0,61,435,485,746,8,27,35,049,001106,2,2018
"Block Group 5, Census Tract 3, Eddy County, New Mexico",626,0,0,0,0,15,0,0,0,626,0,0,0,0,15,153,488,580,0,0,35,015,000300,5,2018
"Block Group 4, Census Tract 10, Eddy County, New Mexico",602,50,0,0,0,0,0,0,0,602,50,0,0,0,0,260,392,427,0,0,35,015,001000,4,2018
"Block Group 3, Census Tract 10, Eddy County, New Mexico",397,0,0,0,0,57,0,0,0,397,0,0,0,0,57,307,147,343,0,0,35,015,001000,3,2018
"Block Group 3, Census Tract 6, Eddy County, New Mexico",1655,0,4,0,0,69,1,0,1,1656,1,4,0,0,69,860,869,1236,0,102,35,015,000600,3,2018
