NAME,B01001F_016E,B01001F_029E,B01001F_030E,B01001F_031E,B01001G_014E,B01001G_015E,B01001G_016E,B01001G_029E,B01001G_030E,B01001G_031E,B01001H_014E,B01001H_015E,B01001H_016E,B01001H_029E,B01001H_030E,B01001H_031E,B01001I_014E,B01001I_015E,B01001I_016E,B01001I_029E,B01001I_030E,B01001I_031E,state,county,tract,YEAR
"Census Tract 4, Lea County, New Mexico",0,0,0,0,0,0,0,0,0,0,15,0,0,14,9,9,37,37,0,25,20,0,35,025,000400,2015
"Census Tract 2, Lea County, New Mexico",0,19,0,0,3,0,0,0,7,0,32,11,19,25,20,7,28,41,0,75,41,0,35,025,000200,2015
"Census Tract 11, Lea County, New Mexico",0,0,0,0,8,0,0,9,9,0,156,89,17,119,74,29,28,14,0,35,10,0,35,025,001100,2015
"Census Tract 5.02, Lea County, New Mexico",2,0,0,0,0,0,0,0,0,0,144,46,36,223,121,44,0,6,2,2,0,0,35,025,000502,2015
"Census Tract 9637, Torrance County, New Mexico",0,22,4,0,0,0,0,0,0,0,148,50,6,87,50,18,78,28,13,67,19,8,35,057,963700,2015
"Census Tract 103.15, Santa Fe County, New Mexico",0,18,0,2,0,18,0,0,0,0,63,76,19,206,63,43,28,32,0,90,52,29,35,049,010315,2015
"Census Tract 103.16, Santa Fe County, New Mexico",0,14,0,7,7,0,0,0,0,0,49,42,0,99,30,4,38,5,0,47,4,30,35,049,010316,2015
"Census Tract 106.01, Santa Fe County, New Mexico",0,0,0,2,8,0,0,8,0,0,180,89,30,174,88,35,43,105,0,31,56,75,35,049,010601,2015
"Census Tract 106.02, Santa Fe County, New Mexico",0,9,0,0,0,0,0,0,0,0,324,91,62,263,102,0,18,0,0,9,23,0,35,049,010602,2015
"Census Tract 106.03, Santa Fe County, New Mexico",0,0,0,0,17,0,0,15,0,0,112,35,7,126,27,12,33,19,0,47,0,0,35,049,010603,2015
"Census Tract 109, Santa Fe County, New Mexico",0,12,12,0,0,0,0,0,0,0,192,44,0,185,23,0,82,30,0,71,20,12,35,049,010900,2015
"Census Tract 9404, Santa Fe County, New Mexico",0,0,30,0,0,0,0,0,0,0,43,5,2,33,39,8,5,6,5,1,32,1,35,049,940400,2015
"Census Tract 9405, Santa Fe County, New Mexico",0,6,4,3,9,2,0,6,2,2,13,11,0,28,5,6,57,20,4,44,23,23,35,049,940500,2015
"Census Tract 9406, Santa Fe County, New Mexico",2,20,6,2,3,8,0,5,1,2,56,12,11,61,25,13,95,43,16,80,49,17,35,049,940600,2015
"Census Tract 9409, Santa Fe County, New Mexico",0,41,25,3,0,0,0,0,0,0,23,11,6,28,3,7,99,56,10,144,61,15,35,049,940900,2015
"Census Tract 9800, Santa Fe County, New Mexico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,049,980000,2015
"Census Tract 9622, Sierra County, New Mexico",0,14,0,0,16,0,0,0,0,0,221,151,35,270,134,89,0,35,5,46,24,9,35,051,962200,2015
"Census Tract 9623, Sierra County, New Mexico",5,10,0,4,0,0,0,17,0,0,251,81,57,223,95,94,39,14,5,56,13,24,35,051,962300,2015
"Census Tract 9624.02, Sierra County, New Mexico",0,13,0,0,0,0,0,42,0,0,201,120,19,145,44,74,41,56,0,33,74,0,35,051,962402,2015
"Census Tract 9400, Taos County, New Mexico",4,19,15,6,0,0,0,7,0,0,3,3,2,14,5,1,104,69,10,74,48,16,35,055,940000,2015
"Census Tract 9401, Taos County, New Mexico",11,191,4,32,9,0,0,7,0,0,212,57,26,522,47,41,165,112,18,309,81,58,35,055,940100,2015
"Census Tract 9636, Torrance County, New Mexico",0,4,0,3,10,0,0,15,4,0,245,117,0,224,151,6,44,43,0,96,75,3,35,057,963600,2015
"Census Tract 9502, Union County, New Mexico",0,12,5,6,7,3,0,7,2,0,135,91,28,157,99,76,86,22,3,85,31,6,35,059,950200,2015
"Census Tract 1.07, Bernalillo County, New Mexico",0,12,0,0,0,0,0,0,0,0,170,112,15,181,117,8,46,0,0,39,22,0,35,001,000107,2015
"Census Tract 1.12, Bernalillo County, New Mexico",0,0,0,0,0,0,0,6,0,0,123,57,5,124,69,18,5,0,0,14,5,0,35,001,000112,2015
"Census Tract 9702, Valencia County, New Mexico",0,0,0,0,20,9,0,0,0,0,139,96,21,198,113,30,17,10,16,9,0,12,35,061,970200,2015
"Census Tract 9711, Valencia County, New Mexico",0,9,0,0,0,0,0,0,0,0,33,11,15,41,3,10,45,0,0,25,4,11,35,061,971100,2015
"Census Tract 9709.01, Valencia County, New Mexico",0,0,6,9,9,10,0,6,13,0,65,55,6,51,56,17,115,46,31,171,80,22,35,061,970901,2015
"Census Tract 9709.02, Valencia County, New Mexico",15,18,30,19,0,0,0,0,5,0,46,14,0,59,10,7,84,43,15,35,67,19,35,061,970902,2015
"Census Tract 9701.02, Valencia County, New Mexico",0,75,0,0,0,0,0,0,0,0,185,76,19,130,139,33,198,110,13,253,74,0,35,061,970102,2015
"Census Tract 9707, Valencia County, New Mexico",0,33,0,0,0,0,0,0,12,14,167,14,48,215,42,0,181,0,0,93,0,31,35,061,970700,2015
"Census Tract 9703.01, Valencia County, New Mexico",0,104,0,17,0,0,0,0,0,0,120,42,18,65,39,20,49,32,0,126,0,17,35,061,970301,2015
"Census Tract 9701.01, Valencia County, New Mexico",0,9,0,0,0,0,0,0,0,0,44,22,0,31,18,10,24,15,0,56,8,0,35,061,970101,2015
"Census Tract 47.45, Bernalillo County, New Mexico",0,0,0,4,0,0,0,0,0,0,58,69,63,65,113,55,34,24,0,68,16,4,35,001,004745,2015
"Census Tract 47.46, Bernalillo County, New Mexico",0,0,23,0,0,0,0,0,0,0,117,34,0,107,11,0,0,25,0,33,23,0,35,001,004746,2015
"Census Tract 47.47, Bernalillo County, New Mexico",0,0,0,0,0,0,0,0,0,0,114,53,0,165,71,31,15,37,0,84,25,0,35,001,004747,2015
"Census Tract 47.48, Bernalillo County, New Mexico",0,14,0,0,0,0,0,0,0,0,149,65,25,72,85,45,76,0,47,30,19,43,35,001,004748,2015
"Census Tract 47.49, Bernalillo County, New Mexico",0,20,12,6,0,0,0,0,0,0,38,38,10,88,29,56,23,24,5,13,28,6,35,001,004749,2015
"Census Tract 47.50, Bernalillo County, New Mexico",0,0,0,0,0,22,0,0,21,0,98,48,0,165,32,18,45,84,19,66,61,0,35,001,004750,2015
"Census Tract 47.51, Bernalillo County, New Mexico",0,0,0,0,0,0,0,0,0,0,89,12,10,57,24,0,22,0,0,5,23,0,35,001,004751,2015
"Census Tract 47.52, Bernalillo County, New Mexico",0,12,12,0,10,0,0,0,0,12,38,35,14,83,36,38,29,41,0,40,40,12,35,001,004752,2015
"Census Tract 47.53, Bernalillo County, New Mexico",0,7,7,0,0,0,0,5,0,0,52,8,7,95,8,14,24,0,8,31,37,0,35,001,004753,2015
"Census Tract 9405, Bernalillo County, New Mexico",0,0,2,0,0,0,0,0,0,0,296,149,31,261,135,37,14,0,0,15,17,0,35,001,940500,2015
"Census Tract 9406, Bernalillo County, New Mexico",0,43,0,0,0,0,0,0,0,0,49,0,0,37,24,0,55,40,0,125,0,0,35,001,940600,2015
"Census Tract 9407, Bernalillo County, New Mexico",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,6,5,0,0,0,5,35,001,940700,2015
"Census Tract 9764, Catron County, New Mexico",0,0,4,0,0,0,0,21,0,0,393,129,3,292,23,118,63,19,0,104,14,5,35,003,976400,2015
"Census Tract 2.01, Chaves County, New Mexico",0,0,0,0,0,0,0,0,0,0,96,24,6,52,78,42,47,0,16,25,13,9,35,005,000201,2015
"Census Tract 2.02, Chaves County, New Mexico",0,0,0,0,0,0,0,0,0,0,59,34,9,57,84,6,111,17,0,60,7,0,35,005,000202,2015
"Census Tract 10.01, Chaves County, New Mexico",0,13,4,0,0,0,0,0,0,0,103,139,41,235,132,98,23,42,30,67,26,20,35,005,001001,2015
